@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2620-C00 numeric
@data
38.73893085,26.94656799,27.86611328,41.94736254,1.43676279
38.69762977,26.97428855,27.8285612,42.09781822,1.435606434
38.63986165,26.99193815,27.73021484,42.55273589,1.434262561
38.59428804,27.0036876,27.72799479,42.5395486,1.432793676
38.53367157,27.04641286,27.7235612,42.65567047,1.43130604
38.47439027,27.08278019,27.69102214,42.6540184,1.430087178
38.42107271,27.1102973,27.64028646,42.66374775,1.428699551
38.3520002,27.15993998,27.5724349,42.7391048,1.427055651
38.28969253,27.18832176,27.47289714,43.00788902,1.425880543
38.23058925,27.23755754,27.42253255,42.98287246,1.42474919
38.15065741,27.28775972,27.24520182,43.25810729,1.423261553
38.09235523,27.32829786,27.22722005,43.29016162,1.422073945
38.02844536,27.38577351,27.20017578,43.19784929,1.420661315
37.9475344,27.44350347,27.14103516,43.21981612,1.419254937
37.8842476,27.4887719,27.01445964,43.33591303,1.417798553
37.81659927,27.5304799,27.02370443,43.26666784,1.415942133
37.75384655,27.57656214,26.99989583,43.23383691,1.41437324
37.70515755,27.588159,26.94317708,43.27613096,1.412585576
37.66830701,27.60351975,26.89366536,43.36607217,1.411072938
37.65735866,27.58602274,26.92605469,43.24140867,1.409954085
37.6503268,27.57483279,26.92176432,43.21508601,1.408985246
37.6633224,27.52819104,27.00143229,43.08423012,1.407991405
37.67845426,27.48414333,27.05572917,43.000274,1.407147578
37.70658172,27.43333079,27.05246745,43.08677135,1.40617874
37.73737952,27.37977162,27.07902995,43.09352045,1.405334912
37.77761247,27.30983444,27.1688151,42.95332485,1.404684853
37.83368938,27.22514687,27.22089844,42.90280724,1.403897281
37.89261463,27.15205615,27.3308724,42.83700445,1.403190966
37.95848274,27.06975916,27.41294922,42.73560823,1.402840934
38.03067063,26.97886625,27.57897786,42.3115072,1.402234628
